Year	District ID	Name of district	Title of respondent	Type of school	 Number of Male teachers	Number of female teachers	 Number of teacher's who provide special needs education	Total Number of Teachers	Number of Absent Teachers	Present Teachers
2010	107	Mubende	deputy headmaster	Day	8.0	13.0	0.0	21.0	0.0	21.0
2010	107	Mubende	DEPUTY	Day	6.0	3.0	0.0	9.0	15.0	-6.0
2010	107	Mubende	DEPUTY HEADTEACHER	Day	8.0	11.0	0.0	19.0	10.0	9.0
2010	107	Mubende	Head Teacher	Day	3.0	5.0	0.0	8.0	1.0	7.0
2010	107	Mubende	MR.YIGA CHARLES	Day	5.0	4.0	0.0	9.0	4.0	5.0
2010	107	Mubende	Deputy Headmaster	Day	3.0	4.0	0.0	7.0	2.0	5.0
2010	107	Mubende	HEADMISTRESS	Day	2.0	4.0	0.0	6.0	9.0	-3.0
2010	107	Mubende	HEAD TEACHER	Day	9.0	8.0	1.0	18.0	0.0	18.0
2010	107	Mubende	NANYONDO JUSTINE	Day	2.0	5.0	0.0	7.0	22.0	-15.0
2010	107	Mubende	DEPUTY HEADTEACHER	Day	4.0	1.0		5.0	7.0	-2.0
2010	107	Mubende		Day	4.0	3.0		7.0	0.0	7.0
2010	107	Mubende	HEAD TEACHER	Day	3.0	5.0		8.0	0.0	8.0
2010	107	Mubende	HEADTEACHER	Day	5.0	1.0	0.0	6.0	5.0	1.0
2010	107	Mubende	HEADTEACHER	Day	5.0	3.0		8.0	8.0	0.0
2010	107	Mubende	h/m	Day	5.0	4.0		9.0	0.0	9.0
2010	107	Mubende	DEPUTY HEADMASTER	Day	7.0	7.0		14.0	1.0	13.0
2010	107	Mubende	DEPUTY HEADTEACHER	Day	5.0	4.0		9.0	8.0	1.0
2010	107	Mubende	volunteer	Day	5.0	0.0		5.0	1.0	4.0
2010	107	Mubende	Deputy Headteacher	Day	2.0	4.0	1.0	7.0	0.0	7.0
2010	107	Mubende	DEPUTY HEADTEACHER	Day	4.0	2.0	6.0	12.0	2.0	10.0
2010	107	Mubende	HEADTEACHER	Day	2.0	6.0		8.0	0.0	8.0
2010	107	Mubende	HEADMASTER	Day	2.0	4.0	6.0	12.0	7.0	5.0
2010	107	Mubende	assistant headmaster	Day	4.0	3.0	0.0	7.0	6.0	1.0
2010	107	Mubende	Teacher	Day	5.0	1.0	0.0	6.0	1.0	5.0
2010	107	Mubende	HEADMASTER	Day	6.0	5.0	0.0	11.0	22.0	-11.0
2010	107	Mubende	CHAIRMAN  L C 1	Day	2.0	7.0		9.0	0.0	9.0
2010	108	Mukono	second  deputy  headteacher	Day	2.0	4.0	0.0	6.0	0.0	6.0
2010	108	Mukono	deputy    head            teacher	Day	4.0	3.0	0.0	7.0	12.0	-5.0
2010	108	Mukono	headmistress	Day	3.0	9.0	1.0	13.0	0.0	13.0
2010	108	Mukono	TEACHER	Day	2.0	3.0	0.0	5.0	0.0	5.0
2010	108	Mukono	TEACHER ON DUTY	Day	5.0	6.0	0.0	11.0	0.0	11.0
2010	108	Mukono	Deputy Head master	Day	4.0	9.0		13.0	0.0	13.0
2010	108	Mukono	HEADTEACHER	Day	4.0	12.0	1.0	17.0	6.0	11.0
2010	108	Mukono	DEPUTY H/M	Day	4.0	4.0	2.0	10.0	0.0	10.0
2010	108	Mukono	DEPUTY HEAD TEACHER	Day	3.0	8.0	0.0	11.0	0.0	11.0
2010	108	Mukono	HEADTEACHER	Day	5.0	7.0	1.0	13.0	9.0	4.0
2010	108	Mukono	DEPUTY HEADTEACHER	Day	5.0	15.0	2.0	22.0	18.0	4.0
2010	108	Mukono	DEPUTY   H/M	Day	3.0	3.0		6.0	5.0	1.0
2010	108	Mukono	HEADTEACHER	Day	6.0	9.0	0.0	15.0	9.0	6.0
2010	108	Mukono	HEADMASTER	Day	3.0	4.0	0.0	7.0	4.0	3.0
2010	108	Mukono	DIRECTOR OF STUDENTS	Day	4.0	8.0	0.0	12.0	16.0	-4.0
2010	108	Mukono	DEPUTY	Day	7.0	2.0	0.0	9.0	10.0	-1.0
2010	108	Mukono	TEACHER	Day	7.0	5.0	0.0	12.0	5.0	7.0
2010	108	Mukono	TEACHER ON DUTY	Day	3.0	2.0		5.0	0.0	5.0
2010	108	Mukono	DEPUTY   HEADMASTER	Day	4.0	3.0		7.0	7.0	0.0
2010	108	Mukono	TEACHER ON DUTY	Day	2.0	7.0	0.0	9.0	5.0	4.0
2010	108	Mukono	DEPUTY HEADMASTER	Both	9.0	7.0	0.0	16.0	6.0	10.0
2010	108	Mukono	HEAD MISTRESS	Day	3.0	11.0		14.0	0.0	14.0
2010	108	Mukono	DEPUTY  HEADMASTER	Day	2.0	6.0	2.0	10.0	0.0	10.0
2010	108	Mukono	DEPUTY HEAD TEACHER	Day	4.0	8.0	0.0	12.0	5.0	7.0
2010	108	Mukono	senior woman	Day	8.0	6.0	1.0	15.0	4.0	11.0
2010	108	Mukono	DEPUTY HEADTEACHER	Day	4.0	6.0		10.0	0.0	10.0
2010	108	Mukono	TEACHER  ON  DUTY	Day	2.0	4.0		6.0	0.0	6.0
2010	108	Mukono	teacher  on  duty	Both	8.0	9.0	1.0	18.0	0.0	18.0
2010	109	Nakasongola	DEPUTY HEAD MASTER	Day	10.0	8.0		18.0	1.0	17.0
2010	109	Nakasongola	DEPUTY  HEADTEACHER	Day	9.0	3.0		12.0	10.0	2.0
2010	109	Nakasongola	Deputy Headteacher	Day	5.0	4.0	0.0	9.0	0.0	9.0
2010	109	Nakasongola	Headteacher	Day	5.0	4.0	0.0	9.0	5.0	4.0
2010	109	Nakasongola	HEAD TEACHER	Day	6.0	1.0	3.0	10.0	9.0	1.0
2010	109	Nakasongola	DEPUTY H.M	Day	10.0	6.0	16.0	32.0	18.0	14.0
2010	109	Nakasongola	DEPUTY HEADTEACHER	Day	4.0	4.0	0.0	8.0	1.0	7.0
2010	109	Nakasongola	HEADTEACHER	Day	5.0	4.0	0.0	9.0	4.0	5.0
2010	109	Nakasongola	HEADMASTER	Day	6.0	2.0	0.0	8.0	4.0	4.0
2010	109	Nakasongola	DEPUTY HEADTEACHER	Day	4.0	4.0	2.0	10.0	2.0	8.0
2010	109	Nakasongola	HEADMASTER	Day	6.0	1.0	0.0	7.0	2.0	5.0
2010	109	Nakasongola	deputy  headteacher	Day	3.0	7.0	1.0	11.0	6.0	5.0
2010	109	Nakasongola	SWAIBU BURUHANI	Day	5.0	4.0	0.0	9.0	3.0	6.0
2010	109	Nakasongola	KISOLO HERNY	Day	5.0	3.0	0.0	8.0	9.0	-1.0
2010	109	Nakasongola	ASSISTANT HEADTEACHER	Day	5.0	4.0	0.0	9.0	0.0	9.0
2010	109	Nakasongola	director of studies	Day	6.0	3.0	0.0	9.0	3.0	6.0
2010	109	Nakasongola	HEADMASTER	Day	4.0	3.0	0.0	7.0	5.0	2.0
2010	109	Nakasongola	Deputy Headteacher	Day	2.0	3.0	0.0	5.0	0.0	5.0
2010	109	Nakasongola	deputy headmaster	Day	5.0	4.0	1.0	10.0	1.0	9.0
2010	109	Nakasongola	HEADMASTER	Day	6.0	2.0	0.0	8.0	35.0	-27.0
2010	109	Nakasongola	ASSISTANT H/M	Day	3.0	5.0	0.0	8.0	0.0	8.0
2010	109	Nakasongola	HEADMASTER	Day	3.0	0.0	0.0	3.0	4.0	-1.0
2010	109	Nakasongola	HEADTEACHER	Day	3.0	3.0	0.0	6.0	2.0	4.0
2010	109	Nakasongola	DEPUTY H.M	Day	4.0	4.0	0.0	8.0	3.0	5.0
2010	109	Nakasongola	HEADMISTRESS	Both	6.0	4.0	0.0	10.0	0.0	10.0
2010	109	Nakasongola	senior woman teacher	Day	3.0	5.0	1.0	9.0	3.0	6.0
2010	109	Nakasongola	TEACHER ON DUTY	Day	5.0	4.0	0.0	9.0	4.0	5.0
2010	109	Nakasongola	DEPUTY  HEADMASTER	Day	7.0	2.0		9.0	3.0	6.0
2010	109	Nakasongola	ASSISSTANT HEAD TEACHER	Day	2.0	3.0		5.0	12.0	-7.0
2010	109	Nakasongola	Deputy Headmaster	Day	6.0	5.0	0.0	11.0	5.0	6.0
2010	110	Rakai	head teacher	Day	3.0	8.0	1.0	12.0	2.0	10.0
2010	110	Rakai	deputy headteacher	Day	6.0	4.0	0.0	10.0	3.0	7.0
2010	110	Rakai	HEADTEACHER	Day	5.0	6.0	0.0	11.0	7.0	4.0
2010	110	Rakai	HEADMASTER	Day	7.0	10.0	3.0	20.0	10.0	10.0
2010	110	Rakai	HEADTEACHER	Day	5.0	5.0	2.0	12.0	10.0	2.0
2010	110	Rakai	deputy headteacher	Day	6.0	3.0	0.0	9.0	0.0	9.0
2010	110	Rakai	Deputy Headmaster	Day	5.0	9.0		14.0	7.0	7.0
2010	110	Rakai	headteacher	Day	5.0	5.0	0.0	10.0	2.0	8.0
2010	110	Rakai	Headmaster	Day	6.0	3.0	0.0	9.0	11.0	-2.0
2010	110	Rakai	DEPUTY HEADTEACHER	Day	3.0	3.0	2.0	8.0	5.0	3.0
2010	110	Rakai	HEADMASTER	Day	8.0	2.0		10.0	17.0	-7.0
2010	110	Rakai	deputy	Day	5.0	10.0	0.0	15.0	18.0	-3.0
2010	110	Rakai	HAEDMISTRESS	Day	3.0	10.0	0.0	13.0	17.0	-4.0
2010	110	Rakai	HEADMASTER	Day	9.0	7.0	1.0	17.0	11.0	6.0
2010	110	Rakai	Deputy Headmaster	Day	7.0	9.0		16.0	33.0	-17.0
2010	110	Rakai	DEPUTY HEADMASTER	Day	3.0	6.0		9.0	8.0	1.0
2010	110	Rakai	HEAD TEACHER	Day	7.0	3.0	2.0	12.0	5.0	7.0
2010	110	Rakai	headmistress	Day	4.0	7.0	0.0	11.0	0.0	11.0
2010	110	Rakai	DEPUTY	Day	5.0	1.0	4.0	10.0	5.0	5.0
2010	110	Rakai	HEADMISTRESS	Day	4.0	4.0	0.0	8.0	11.0	-3.0
2010	110	Rakai	DEPUTY HM	Both	7.0	3.0		10.0	4.0	6.0
2010	110	Rakai	Deputy Headmaster	Day	10.0	5.0		15.0	16.0	-1.0
2010	110	Rakai	Deputy Headmaster	Day	6.0	5.0	2.0	13.0	0.0	13.0
2010	110	Rakai	Headmaster	Day	6.0	10.0	2.0	18.0	2.0	16.0
2010	110	Rakai	Deputy headteacher	Day	4.0	10.0	0.0	14.0	20.0	-6.0
2010	110	Rakai	Headteacher	Day	7.0	4.0	0.0	11.0	23.0	-12.0
2010	110	Rakai	Deputy headteacher	Day	8.0	5.0	2.0	15.0	11.0	4.0
2010	110	Rakai	Deputy headmaster	Day	6.0	4.0		10.0	6.0	4.0
2010	110	Rakai	Deputy head teacher	Day	6.0	8.0		14.0	58.0	-44.0
2010	110	Rakai	Deputy headteacher	Day	8.0	3.0	0.0	11.0	6.0	5.0
2010	113	Wakiso	director	Both	5.0	12.0	1.0	18.0	0.0	18.0
2010	113	Wakiso	DEPUTY HEAD TEACHER	Both	3.0	12.0		15.0	0.0	15.0
2010	113	Wakiso	HEADMASTER	Both	12.0	9.0		21.0	0.0	21.0
2010	113	Wakiso	HEADTEACHER	Day	2.0	5.0	0.0	7.0	0.0	7.0
2010	113	Wakiso	NO TITLE	Day	2.0	8.0	0.0	10.0	6.0	4.0
2010	113	Wakiso	headteacher	Day	1.0	7.0		8.0	0.0	8.0
2010	113	Wakiso	HRADTEACHER	Day	6.0	10.0	1.0	17.0	3.0	14.0
2010	113	Wakiso	deputy	Day	5.0	2.0	0.0	7.0	3.0	4.0
2010	113	Wakiso	WAKISO	Both	5.0	14.0	1.0	20.0	1.0	19.0
2010	113	Wakiso	DEPUTY HEADTEACHER	Day	6.0	10.0	0.0	16.0	4.0	12.0
2010	113	Wakiso	DEPUTY HEADMASTER	Both	16.0	16.0	6.0	38.0	5.0	33.0
2010	113	Wakiso	HEADMASTER	Both	6.0	9.0	0.0	15.0	0.0	15.0
2010	113	Wakiso	HEADMASTER	Day	2.0	2.0	0.0	4.0	2.0	2.0
2010	113	Wakiso	HEADTEACHER	Day	5.0	16.0	1.0	22.0	0.0	22.0
2010	113	Wakiso	DEPUTY	Day	3.0	15.0	0.0	18.0	0.0	18.0
2010	113	Wakiso	HEADTEACHER	Day	9.0	20.0		29.0	10.0	19.0
2010	113	Wakiso	DEPUTY HEADTEACHER	Both	4.0	12.0	0.0	16.0	0.0	16.0
2010	113	Wakiso	headteacher	Day	2.0	4.0	0.0	6.0	0.0	6.0
2010	113	Wakiso	HEADMISTRESS	Day	1.0	5.0	1.0	7.0	6.0	1.0
2010	113	Wakiso	DEPUTY HEADMASTER	Day	4.0	7.0		11.0	0.0	11.0
2010	113	Wakiso	HEADTEACHER	Day	7.0	0.0	11.0	18.0	0.0	18.0
2010	113	Wakiso	DEPUTY HEADMASTER	Boarding	3.0	5.0	0.0	8.0	0.0	8.0
2010	113	Wakiso	Headmaster	Day	4.0	12.0	0.0	16.0	0.0	16.0
2010	113	Wakiso	HEADMASTER	Day	0.0	11.0	0.0	11.0	0.0	11.0
2010	113	Wakiso	HEADMISTRESS	Day	1.0	8.0	0.0	9.0	1.0	8.0
2010	113	Wakiso		Day	7.0	12.0	0.0	19.0	0.0	19.0
2010	113	Wakiso	HEADMASTER	Day	3.0	6.0	1.0	10.0	3.0	7.0
2010	113	Wakiso	HEADTEACHER	Day	4.0	14.0		18.0	4.0	14.0
2010	113	Wakiso	deputy headmaster	Both	9.0	15.0		24.0	0.0	24.0
2010	113	Wakiso	deputy headteacher	Day	3.0	11.0		14.0	16.0	-2.0
2010	202	Busia	ACADEMIC OFFICER	Day	10.0	11.0	3.0	24.0	7.0	17.0
2010	202	Busia	HEADTEACHER	Day	16.0	6.0	2.0	24.0	7.0	17.0
2010	202	Busia	HEADMASTER	Day	7.0	0.0	0.0	7.0	1.0	6.0
2010	202	Busia	DEPUTY HEAD TEACHER	Day	6.0	3.0		9.0	4.0	5.0
2010	202	Busia	DEPUTY HEADTEACHER	Day	5.0	4.0	0.0	9.0	5.0	4.0
2010	202	Busia	DEPUTY HEAD TEACHER	Day	14.0	4.0	0.0	18.0	3.0	15.0
2010	202	Busia	DEPUTY HEADTEACHER	Day	18.0	8.0	3.0	29.0	0.0	29.0
2010	202	Busia	Head Master	Day	7.0	1.0	1.0	9.0	0.0	9.0
2010	202	Busia	HEADMASTER	Day	8.0	3.0	2.0	13.0	12.0	1.0
2010	202	Busia	DEPUTY   HEADTEACHER	Day	7.0	1.0		8.0	1.0	7.0
2010	202	Busia	HEADTEACHER	Day	8.0	3.0	0.0	11.0	1.0	10.0
2010	202	Busia	HEADMASTER	Day	8.0	5.0	0.0	13.0	4.0	9.0
2010	202	Busia	HEADMISTRESS	Day	6.0	15.0	1.0	22.0	0.0	22.0
2010	202	Busia	HEADTEACHER	Day	7.0	2.0	0.0	9.0	11.0	-2.0
2010	202	Busia	deputy  headteacher	Day	7.0	6.0	2.0	15.0	11.0	4.0
2010	202	Busia	HEADMASTER	Day	7.0	14.0	0.0	21.0	13.0	8.0
2010	202	Busia	deputy  headmaster	Day	10.0	3.0	3.0	16.0	14.0	2.0
2010	202	Busia	headteacher	Day	2.0	6.0	0.0	8.0	0.0	8.0
2010	202	Busia	`headmaster	Day	2.0	6.0		8.0	0.0	8.0
2010	202	Busia	deputy headmaster	Day	22.0	19.0	2.0	43.0	4.0	39.0
2010	202	Busia	headmaster	Day	7.0	3.0	1.0	11.0	10.0	1.0
2010	202	Busia	HEADTEACHER	Day	10.0	5.0		15.0	19.0	-4.0
2010	202	Busia	DEPUTY    H/T	Day	11.0	1.0		12.0	8.0	4.0
2010	202	Busia	HEADTEACHER	Day	6.0	8.0	2.0	16.0	5.0	11.0
2010	202	Busia	HEADMASTER	Day	0.0	0.0	0.0	0.0	5.0	-5.0
2010	202	Busia	HEADTEACHER	Day	10.0	18.0	0.0	28.0	5.0	23.0
2010	202	Busia	Head Teacher	Day	7.0	2.0		9.0	4.0	5.0
2010	205	Kamuli	DEPUTY HM	Day	6.0	6.0	0.0	12.0	0.0	12.0
2010	205	Kamuli	TEACHER ON DUTY	Day	4.0	2.0	0.0	6.0	0.0	6.0
2010	205	Kamuli	HEADTEACHER	Day	7.0	10.0	1.0	18.0	12.0	6.0
2010	205	Kamuli	DEPUTY H/M	Day	4.0	1.0	0.0	5.0	11.0	-6.0
2010	205	Kamuli	DEPUTY HEADTEACHER	Day	5.0	3.0	0.0	8.0	5.0	3.0
2010	205	Kamuli	DEPUTY HEADMASTER	Day	8.0	8.0	1.0	17.0	19.0	-2.0
2010	205	Kamuli	HEADMASTER	Day	5.0	5.0	0.0	10.0	0.0	10.0
2010	205	Kamuli	DEPUTY HEADTEACHER	Day	6.0	6.0	0.0	12.0	2.0	10.0
2010	205	Kamuli	deputy headteacher	Day	10.0	9.0	0.0	19.0	22.0	-3.0
2010	205	Kamuli	headteacher	Day	19.0	7.0	1.0	27.0	10.0	17.0
2010	205	Kamuli	DEPUTY HEAD TEACHER	Day	9.0	2.0		11.0	0.0	11.0
2010	205	Kamuli	DEPUTY HEADMASTER	Both	9.0	5.0	2.0	16.0	5.0	11.0
2010	205	Kamuli	TEACHER ON DUTY	Day	9.0	1.0	0.0	10.0	0.0	10.0
2010	205	Kamuli	head teacher	Both	10.0	6.0	0.0	16.0	2.0	14.0
2010	205	Kamuli	Headteacher	Day	6.0	7.0	0.0	13.0	5.0	8.0
2010	205	Kamuli	DEPUTY HEADMASTER	Both	5.0	6.0		11.0	2.0	9.0
2010	205	Kamuli	MASTER ON DUTY	Day	8.0	4.0		12.0	19.0	-7.0
2010	205	Kamuli	DEPUTY HEADTEACHER	Day	8.0	6.0		14.0	0.0	14.0
2010	205	Kamuli	HEADMASTER	Day	8.0	3.0	0.0	11.0	0.0	11.0
2010	205	Kamuli	DEPUTY HEAD TEACHER	Day	6.0	8.0	0.0	14.0	0.0	14.0
2010	205	Kamuli	TEACHER ON DUTY	Day	6.0	2.0	0.0	8.0	6.0	2.0
2010	205	Kamuli	Deputy Headteacher	Day	8.0	3.0	0.0	11.0	19.0	-8.0
2010	205	Kamuli	master on duty	Day	9.0	0.0	0.0	9.0	0.0	9.0
2010	205	Kamuli	DEPUTY HEAD TEACHER	Day	8.0	3.0	2.0	13.0	18.0	-5.0
2010	205	Kamuli	HEAD TEACHER	Day	6.0	6.0	0.0	12.0	0.0	12.0
2010	205	Kamuli	DEPUTY HEADTEACHER	Day	9.0	4.0		13.0	6.0	7.0
2010	205	Kamuli	TEACHER ON DUTY	Day	7.0	2.0		9.0	10.0	-1.0
2010	205	Kamuli	MALE SENIOR TEACHER	Day	4.0	1.0		5.0	0.0	5.0
2010	205	Kamuli	DEPUTY HEADMASTER	Day	8.0	9.0		17.0	0.0	17.0
2010	205	Kamuli	HEADTEACHER	Day	20.0	10.0	1.0	31.0	16.0	15.0
2010	207	Katakwi	DEPUTY HEADTEACHER	Day	6.0	2.0	1.0	9.0	14.0	-5.0
2010	207	Katakwi	DEPUTY H.M	Day	8.0	1.0	3.0	12.0	3.0	9.0
2010	207	Katakwi	DEPUTY HEADTEACHER	Day	7.0	5.0	1.0	13.0	8.0	5.0
2010	207	Katakwi	MASTER ON DUTY	Day	6.0	2.0	0.0	8.0	1.0	7.0
2010	207	Katakwi	Headmaster	Day	7.0	1.0		8.0	11.0	-3.0
2010	207	Katakwi	HEADTEACHER	Day	10.0	3.0	1.0	14.0	22.0	-8.0
2010	207	Katakwi	deputy headmaster	Day	8.0	1.0	0.0	9.0	9.0	0.0
2010	207	Katakwi	head teacher	Day	8.0	3.0	0.0	11.0	2.0	9.0
2010	207	Katakwi	HEAD TEACHER	Day	8.0	1.0	0.0	9.0	8.0	1.0
2010	207	Katakwi	HEADTEACHER	Day	6.0	2.0	1.0	9.0	2.0	7.0
2010	207	Katakwi	DUTY HEAD TEACHER	Day	5.0	4.0	1.0	10.0	0.0	10.0
2010	207	Katakwi	DEPUTY H/M	Day	9.0	7.0	1.0	17.0	14.0	3.0
2010	207	Katakwi	EDUCATION ASSISTANT	Day	11.0	4.0	0.0	15.0	14.0	1.0
2010	207	Katakwi	HEADTEACHER	Day	7.0	2.0		9.0	3.0	6.0
2010	207	Katakwi	HEADMASTER	Day	7.0	2.0	0.0	9.0	0.0	9.0
2010	207	Katakwi	headteacher	Day	5.0	2.0	2.0	9.0	2.0	7.0
2010	207	Katakwi	d. head teacher	Day	6.0	3.0	1.0	10.0	9.0	1.0
2010	207	Katakwi	head teacher	Day	8.0	4.0	2.0	14.0	12.0	2.0
2010	207	Katakwi	HEADMASTER	Day	9.0	4.0	1.0	14.0	2.0	12.0
2010	207	Katakwi	HEADMASTER	Day	9.0	1.0	2.0	12.0	1.0	11.0
2010	207	Katakwi		Day	6.0	2.0	8.0	16.0	2.0	14.0
2010	207	Katakwi	headteacher	Day	5.0	2.0	0.0	7.0	7.0	0.0
2010	207	Katakwi	HEADMISTRESS	Day	6.0	2.0	8.0	16.0	3.0	13.0
2010	207	Katakwi	MASTER ON DUTY	Day	6.0	2.0	1.0	9.0	12.0	-3.0
2010	207	Katakwi	SENIOR TEACHER	Day	7.0	3.0	1.0	11.0	8.0	3.0
2010	207	Katakwi	HEADTEACHER	Day	9.0	1.0	1.0	11.0	13.0	-2.0
2010	207	Katakwi	Head Teacher	Day	7.0	2.0	1.0	10.0	10.0	0.0
2010	207	Katakwi	HEADTEADCHER	Day	9.0	2.0	11.0	22.0	8.0	14.0
2010	214	Mayuge	Deputy Head Master	Day	10.0	10.0	1.0	21.0	12.0	9.0
2010	214	Mayuge	DEPUTY HEADMASTER	Day	6.0	5.0	0.0	11.0	18.0	-7.0
2010	214	Mayuge	DEPUTY HEADTEACHER	Day	6.0	4.0	2.0	12.0	0.0	12.0
2010	214	Mayuge	head Teacher	Day	3.0	5.0	0.0	8.0	2.0	6.0
2010	214	Mayuge	DEPUTY HEAD TEACHER	Day	7.0	1.0	0.0	8.0	9.0	-1.0
2010	214	Mayuge	director of students	Day	4.0	5.0	0.0	9.0	3.0	6.0
2010	214	Mayuge	HEAD TEACHER	Day	9.0	3.0		12.0	14.0	-2.0
2010	214	Mayuge	TEACHER	Day	9.0	6.0	0.0	15.0	3.0	12.0
2010	214	Mayuge	DEPUTY HEADTEACHER	Day	6.0	7.0	0.0	13.0	30.0	-17.0
2010	214	Mayuge	DEPUTY	Day	5.0	1.0	0.0	6.0	5.0	1.0
2010	214	Mayuge	DEPUTY HEADTEACHER	Day	8.0	8.0	0.0	16.0	10.0	6.0
2010	214	Mayuge	DEPUTY HEADTEACHER	Day	11.0	3.0	1.0	15.0	5.0	10.0
2010	214	Mayuge	dputy  headteacher	Day	10.0	10.0	0.0	20.0	19.0	1.0
2010	214	Mayuge	Headteacher	Day	4.0	6.0	0.0	10.0	6.0	4.0
2010	214	Mayuge	ASSISTANT HEADMASTER	Day	4.0	3.0		7.0	11.0	-4.0
2010	214	Mayuge	Head Teacher	Day	11.0	2.0	2.0	15.0	14.0	1.0
2010	214	Mayuge	DEPUTY HEAD TEACHER	Day	11.0	7.0	2.0	20.0	27.0	-7.0
2010	214	Mayuge	deputy headteacher	Day	8.0	0.0	0.0	8.0	0.0	8.0
2010	214	Mayuge	deputy headmaster	Day	3.0	0.0	0.0	3.0	5.0	-2.0
2010	214	Mayuge	HEADMISTRESS	Day	4.0	5.0	0.0	9.0	12.0	-3.0
2010	214	Mayuge	headmaster	Day	11.0	4.0	1.0	16.0	68.0	-52.0
2010	214	Mayuge	DIRECTOR OF STUDIES	Day	10.0	4.0	0.0	14.0	11.0	3.0
2010	214	Mayuge	DEPUTY HEADTEACHER	Day	4.0	4.0		8.0	0.0	8.0
2010	214	Mayuge	HEADMASTER	Day	11.0	7.0	1.0	19.0	22.0	-3.0
2010	214	Mayuge	Deputy Headteacher	Day	9.0	14.0	0.0	23.0	24.0	-1.0
2010	214	Mayuge	H/TEACHER	Day	8.0	3.0	1.0	12.0	0.0	12.0
2010	216	Amuria	HEADTEACHER	Day	6.0	2.0	0.0	8.0	2.0	6.0
2010	216	Amuria	HEADTEACHER	Day	7.0	2.0	1.0	10.0	7.0	3.0
2010	216	Amuria	head teacher	Day	10.0	2.0	0.0	12.0	7.0	5.0
2010	216	Amuria	headmistress	Day	8.0	4.0	1.0	13.0	9.0	4.0
2010	216	Amuria	SENIOR MAN TEACHER	Day	12.0	5.0	2.0	19.0	7.0	12.0
2010	216	Amuria	HEADTEACHER	Day	13.0	6.0	1.0	20.0	1.0	19.0
